ronda,cartas_restantes,Markov_Normal_capital,Markov_Arriesgado_capital,Markov_Umbral_capital,Markov_PG_capital,Aleatorio1_capital,Aleatorio2_capital,Markov_Normal_apuesta,Markov_Arriesgado_apuesta,Markov_Umbral_apuesta,Markov_PG_apuesta,Aleatorio1_apuesta,Aleatorio2_apuesta,Markov_Normal_decision_ms,Markov_Arriesgado_decision_ms,Markov_Umbral_decision_ms,Markov_PG_decision_ms,Aleatorio1_decision_ms,Aleatorio2_decision_ms,Markov_Normal_resultado,Markov_Arriesgado_resultado,Markov_Umbral_resultado,Markov_PG_resultado,Aleatorio1_resultado,Aleatorio2_resultado
88,208,758,608,421,8,3,4,5,5,5,0,5,5,1261,96,46,45,499,203,activo,activo,activo,activo,activo,activo
89,151,740,580,403,8,3,4,5,5,5,0,5,5,351,733,38,5475,264,46,activo,activo,activo,activo,activo,activo
90,95,717,555,373,8,3,4,5,5,5,0,5,5,71,27,6436,4926,905,78,activo,activo,activo,activo,activo,activo
91,36,714,547,363,8,3,4,5,5,5,0,5,5,428,1,5347,339,157,32,activo,activo,activo,activo,activo,activo
92,167,699,527,348,8,3,4,5,5,5,0,5,5,374,238,314,4475,694,1439,activo,activo,activo,activo,activo,activo
93,105,709,532,348,8,3,4,5,5,5,0,5,5,55,1292,1286,24,141,175,activo,activo,activo,activo,activo,activo
94,46,696,512,337,8,3,4,5,5,5,0,5,5,2,559,849,418,201,1639,activo,activo,activo,activo,activo,activo
95,161,683,509,322,8,3,4,5,5,5,0,5,5,66,71,29,28,2381,1058,activo,activo,activo,activo,activo,activo
96,107,680,511,324,8,3,4,5,5,5,0,5,5,3294,7084,23,31,35,114,activo,activo,activo,activo,activo,activo
97,47,689,501,306,8,3,4,5,5,5,0,5,5,73,3,239,193,1503,11130,activo,activo,activo,activo,activo,activo
98,166,674,496,314,8,3,4,5,5,5,0,5,5,725,1192,1941,60,83,38,activo,activo,activo,activo,activo,activo
99,109,661,491,310,8,3,4,5,5,5,0,5,5,1699,50,26,475,271,3683,activo,activo,activo,activo,activo,activo
100,52,650,483,314,8,3,4,5,5,5,0,5,5,51,2,2299,2297,2164,577,activo,activo,activo,activo,activo,activo
