n_trees,train_acc,val_acc
10,0.8483935149616847,0.8425624963063649
20,0.8486102082225243,0.8433307724129779
30,0.8485511100604771,0.8432125760888837
40,0.8486299076098733,0.8431534779268365
50,0.8486693063845714,0.8431534779268365
60,0.8486693063845714,0.8432125760888837
70,0.8487087051592695,0.8432125760888837
80,0.8487481039339676,0.8432125760888837
90,0.8487284045466186,0.8432125760888837
100,0.8487678033213167,0.8430943797647893
110,0.8487875027086658,0.8432125760888837
120,0.8487481039339676,0.8434489687370723
130,0.8487678033213167,0.8433898705750251
140,0.8487678033213167,0.8433898705750251
150,0.8487678033213167,0.8435671650611666
160,0.8487481039339676,0.8434489687370723
170,0.8487481039339676,0.8433898705750251
180,0.8487284045466186,0.843685361385261
190,0.8487481039339676,0.8436262632232138
200,0.8487875027086658,0.8438035577093552
