round,cards_remaining,markov_normal.decision_time_ms,markov_normal.decisions,markov_normal.result,markov_normal.capital_change,markov_arriesgado.decision_time_ms,markov_arriesgado.decisions,markov_arriesgado.result,markov_arriesgado.capital_change,markov_umbral.decision_time_ms,markov_umbral.decisions,markov_umbral.result,markov_umbral.capital_change,markov_hibrido.decision_time_ms,markov_hibrido.decisions,markov_hibrido.result,markov_hibrido.capital_change,hilo.decision_time_ms,hilo.decisions,hilo.result,hilo.capital_change,aleatorio1.decision_time_ms,aleatorio1.decisions,aleatorio1.result,aleatorio1.capital_change,aleatorio2.decision_time_ms,aleatorio2.decisions,aleatorio2.result,aleatorio2.capital_change,randomforest.decision_time_ms,randomforest.decisions,randomforest.result,randomforest.capital_change,markov_politica.decision_time_ms,markov_politica.decisions,markov_politica.result,markov_politica.capital_change
2168,118,164,1,1,10,0,1,1,7,0,1,1,5,2,1,1,5,0,1,1,15,0,1,-1,-5,0,1,1,5,36,1,1,10,0,0,0,0
2169,96,0,1,1,5,10,2,1,5,6,2,-1,-5,0,1,1,5,0,1,-1,-5,0,1,1,10,0,1,-1,-3,114,3,1,5,0,0,0,0
2170,70,5,1,0,0,51,2,0,0,0,1,0,0,4,2,0,0,0,1,-1,-5,0,1,-1,-10,0,1,-1,-5,73,2,0,0,0,0,0,0
2171,45,21,1,0,0,64,1,-1,-5,4,1,-1,-10,13,1,-1,-10,0,1,-1,-5,0,1,0,0,0,2,-1,-5,37,1,-1,-5,0,0,0,0
2172,183,42,1,1,5,0,1,1,5,0,1,1,5,3,1,1,5,0,1,1,10,0,1,-1,-3,0,1,1,5,34,1,1,5,0,0,0,0
2173,164,32,2,-1,-5,5,1,-1,-3,0,1,-1,-3,19,3,1,5,0,1,1,10,0,1,1,5,0,1,1,5,74,2,1,5,0,0,0,0
2174,139,334,1,-1,-3,157,1,1,5,1,1,1,5,2,1,-1,-3,0,1,-1,-20,0,2,1,5,0,1,1,10,37,1,1,7,0,0,0,0
2175,116,341,1,-1,-5,882,3,-1,-5,10,1,-1,-10,1,1,0,0,0,1,0,0,0,1,-1,-10,0,1,-1,-3,35,1,0,0,0,0,0,0
2176,93,22,1,0,0,109,3,-1,-5,1,1,-1,-5,17,3,-1,-10,0,3,0,0,0,1,0,0,0,1,-1,-5,37,1,-1,-5,0,0,0,0
2177,65,94,1,-1,-5,93,1,-1,-5,3,1,-1,-3,9,1,-1,-3,0,1,-1,-35,0,1,-1,-5,0,1,-1,-5,39,1,-1,-3,0,0,0,0
2178,46,43,1,-1,-5,0,1,1,7,0,1,1,5,1,1,1,5,0,1,1,20,0,1,1,10,0,1,1,5,35,1,1,5,0,0,0,0
2179,25,5,1,0,0,48,2,0,0,1,2,0,0,7,2,-1,-5,0,3,0,0,0,1,-1,-3,0,1,-1,-5,76,2,-1,-5,0,0,0,0
2180,184,11,1,-1,-5,13,1,-1,-3,4,1,-1,-10,1,1,-1,-5,0,1,0,0,0,1,-1,-5,0,1,-1,-5,78,2,0,0,0,0,0,0
2181,160,635,1,-1,-5,424,1,-1,-5,1,1,-1,-5,2,1,-1,-5,0,1,-1,-40,0,1,-1,-10,0,1,-1,-5,36,1,-1,-5,0,0,0,0
2182,139,25,2,-1,-5,54,4,-1,-5,6,2,0,0,5,1,-1,-10,0,1,0,0,0,1,-1,-5,0,1,-1,-5,76,2,0,0,0,0,0,0
2183,114,40,1,-1,-5,14,1,-1,-3,0,1,-1,-5,4,1,-1,-10,0,2,-1,-70,0,1,-1,-10,0,1,-1,-5,27,1,1,7,0,0,0,0
2184,93,75,2,-1,-5,71,3,1,5,1,1,1,5,1,1,1,5,0,1,-1,-60,0,1,1,5,0,2,1,5,38,1,1,5,0,0,0,0
2185,66,164,1,-1,-5,84,1,-1,-5,1,1,-1,-5,14,5,-1,-15,0,1,-1,-75,0,2,0,0,0,2,-1,-5,37,1,-1,-5,0,0,0,0
2186,41,2,1,-1,-5,1,1,0,0,2,2,-1,-5,0,1,1,7,0,1,-1,-60,0,1,-1,-3,0,1,-1,-3,37,1,-1,-3,0,0,0,0
2187,21,6,1,0,0,18,1,0,0,1,1,-1,-5,0,1,0,0,0,1,0,0,0,2,0,0,0,1,-1,-5,39,1,0,0,0,0,0,0
2188,187,26,1,0,0,10,1,-1,-3,2,2,-1,-5,13,3,0,0,0,1,0,0,0,1,0,0,0,2,0,0,74,2,0,0,0,0,0,0
2189,161,3,2,-1,-5,0,1,0,0,7,2,0,0,6,2,0,0,0,2,-1,-5,0,1,-1,-5,0,1,-1,-10,73,2,0,0,0,0,0,0
2190,135,0,1,1,7,181,1,-1,-5,3,1,-1,-5,5,1,0,0,0,1,-1,-5,0,4,-1,-10,0,1,-1,-3,36,1,-1,-5,0,0,0,0
2191,111,147,1,0,0,268,2,0,0,6,3,0,0,2,1,-1,-3,0,1,0,0,0,1,-1,-5,0,1,-1,-5,112,3,-1,-5,0,0,0,0
2192,86,207,2,0,0,215,1,-1,-5,5,1,0,0,7,3,0,0,0,1,-1,-25,0,1,-1,-3,0,1,-1,-10,36,1,-1,-5,0,0,0,0
2193,63,42,1,-1,-5,31,1,0,0,3,1,-1,-5,7,3,-1,-10,0,1,0,0,0,1,-1,-5,0,1,-1,-10,39,1,-1,-5,0,0,0,0
2194,41,30,2,0,0,33,2,-1,-5,0,1,1,7,2,2,0,0,0,1,1,7,0,2,1,4,0,2,-1,-5,70,2,0,0,0,0,0,0
2195,182,76,1,1,5,74,1,1,5,1,1,1,5,5,2,1,5,0,1,1,5,0,1,1,5,0,1,1,5,37,1,1,5,0,0,0,0
2196,162,19,2,-1,-5,5,1,-1,-5,0,1,-1,-5,8,2,-1,-5,0,1,0,0,0,1,-1,-5,0,1,0,0,40,1,0,0,0,0,0,0
2197,141,209,1,-1,-5,371,1,-1,-10,0,1,1,7,5,2,0,0,0,1,-1,-5,0,1,1,7,0,1,-1,-5,37,1,0,0,0,0,0,0
2198,116,491,1,-1,-5,519,1,-1,-5,13,3,-1,-15,8,2,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-5,41,1,-1,-5,0,0,0,0
2199,92,484,1,1,10,284,1,1,5,1,1,1,5,4,1,-1,-5,0,3,1,5,0,1,1,5,0,1,1,5,38,1,1,5,0,0,0,0
2200,68,145,1,1,5,72,1,1,5,9,3,1,5,8,3,1,5,0,1,1,5,0,1,-1,-3,0,1,1,5,39,1,1,5,0,0,0,0
2201,45,17,1,1,5,70,3,1,5,4,2,1,5,1,2,1,5,0,1,-1,-5,0,1,1,10,0,1,1,5,72,2,1,5,0,0,0,0
2202,17,552,1,-1,-5,377,1,-1,-5,7,1,0,0,22,5,-1,-5,0,1,-1,-5,0,1,1,7,0,2,-1,-5,39,1,-1,-5,0,0,0,0
2203,182,17,2,0,0,23,3,0,0,11,3,0,0,2,2,0,0,0,2,0,0,0,1,-1,-5,0,1,-1,-3,37,1,-1,-3,0,0,0,0
2204,155,899,2,1,5,555,1,1,10,3,1,1,5,4,1,1,5,0,1,1,25,0,3,1,5,0,1,-1,-5,36,1,1,5,0,0,0,0
2205,130,8,1,-1,-3,28,1,-1,-5,5,1,-1,-5,0,1,-1,-5,0,2,-1,-75,0,1,-1,-10,0,1,-1,-5,38,1,-1,-3,0,0,0,0
