round,cards_remaining,markov_normal.decision_time_ms,markov_normal.decisions,markov_normal.result,markov_normal.capital_change,markov_arriesgado.decision_time_ms,markov_arriesgado.decisions,markov_arriesgado.result,markov_arriesgado.capital_change,markov_umbral.decision_time_ms,markov_umbral.decisions,markov_umbral.result,markov_umbral.capital_change,markov_hibrido.decision_time_ms,markov_hibrido.decisions,markov_hibrido.result,markov_hibrido.capital_change,hilo.decision_time_ms,hilo.decisions,hilo.result,hilo.capital_change,aleatorio1.decision_time_ms,aleatorio1.decisions,aleatorio1.result,aleatorio1.capital_change,aleatorio2.decision_time_ms,aleatorio2.decisions,aleatorio2.result,aleatorio2.capital_change,randomforest.decision_time_ms,randomforest.decisions,randomforest.result,randomforest.capital_change,markov_politica.decision_time_ms,markov_politica.decisions,markov_politica.result,markov_politica.capital_change
1,208,315,2,-1,-5,315,1,-1,-10,2,1,-1,-5,5,2,0,0,0,2,0,0,0,1,-1,-3,0,2,-1,-8,38,1,0,0,0,1,1,8104528
2,180,14,2,-1,-5,11,1,-1,-3,9,2,-1,-5,0,1,-1,-5,0,3,-1,-15,0,1,-1,-3,0,1,-1,-5,111,3,0,0,2,1,0,0
3,153,5,1,-1,-5,2,1,-1,-5,2,1,-1,-5,4,1,-1,-10,0,1,-1,-5,0,1,-1,-5,0,1,-1,-10,37,1,-1,-5,21,3,-1,-6164471
4,125,111,1,1,5,189,1,1,10,2,1,1,5,1,1,1,5,0,1,1,7,0,1,1,10,0,1,-1,-10,37,1,1,5,326,2,1,5722444
5,99,971,2,-1,-5,312,1,-1,-5,13,6,-1,-5,2,1,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-10,38,1,-1,-5,1062,2,-1,-6007429
6,69,30,1,-1,-5,14,1,-1,-3,1,1,-1,-5,4,1,0,0,0,3,-1,-5,0,2,-1,-8,0,1,-1,-3,35,1,0,0,23,1,-1,-5713032
7,42,49,3,-1,-10,70,3,0,0,2,1,-1,-5,0,1,1,7,0,1,-1,-5,0,1,-1,-3,0,2,0,0,73,2,-1,-5,57,2,0,0
8,177,2,1,0,0,5,1,-1,-5,8,2,-1,-5,7,3,-1,-10,0,2,-1,-5,0,1,-1,-5,0,1,-1,-5,37,1,-1,-5,13,1,-1,-5161017
9,151,112,1,-1,-10,42,1,-1,-5,13,1,-1,-10,5,1,0,0,0,1,-1,-5,0,1,-1,-10,0,1,-1,-5,78,2,-1,-5,84,1,-1,-4964768
10,126,74,2,0,0,24,1,-1,-5,1,2,0,0,7,2,-1,-5,0,1,0,0,0,1,-1,-3,0,1,-1,-3,109,3,-1,-5,15,1,-1,-4516123
11,100,10,1,-1,-5,4,1,-1,-5,1,2,0,0,2,2,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-5,66,2,-1,-5,21,3,-1,-4369238
12,72,26,1,-1,-5,64,2,-1,-5,3,2,-1,-5,8,3,0,0,0,1,0,0,0,1,-1,-5,0,1,-1,-3,63,2,-1,-5,7,1,0,0
13,43,25,2,-1,-5,39,1,-1,-3,2,1,-1,-5,1,1,-1,-5,0,3,-1,-5,0,1,-1,-3,0,1,-1,-5,36,1,1,7,39,2,-1,-4042440
14,180,16,1,-1,-5,32,2,-1,-5,0,1,0,0,11,3,0,0,0,1,-1,-5,0,1,-1,-5,0,1,-1,-3,41,1,0,0,12,1,-1,-3719660
15,154,28,1,0,0,8,1,-1,-3,15,4,0,0,27,3,0,0,0,2,-1,-5,0,1,-1,-3,0,2,-1,-5,38,1,-1,-5,15,2,-1,-3581126
16,123,8,2,-1,-5,34,2,0,0,1,2,0,0,2,1,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-10,42,1,-1,-5,1,1,-1,-3246327
17,98,249,2,0,0,340,3,1,7,5,1,0,0,1,1,0,0,0,1,-1,-5,0,2,0,0,0,1,-1,-5,35,1,0,0,266,2,0,0
18,71,51,1,-1,-5,49,1,-1,-5,2,1,-1,-5,2,1,-1,-5,0,1,0,0,0,1,-1,-5,0,1,-1,-5,35,1,0,0,47,1,0,0
19,50,44,1,1,5,41,1,1,5,3,7,1,24,0,1,1,5,0,1,1,10,0,1,1,5,0,1,-1,-3,37,1,1,10,18,2,1,3088461
20,19,248,1,-1,-3,334,2,-1,-5,7,2,-1,-5,7,2,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-5,38,1,-1,-3,271,1,-1,-1588987
21,184,893,1,1,5,900,1,1,5,4,1,1,5,8,3,1,5,0,1,1,5,0,1,1,5,0,1,1,5,34,1,1,5,939,3,1,3165761
22,159,8,1,1,5,10,1,-1,-3,1,1,-1,-5,4,1,1,10,0,1,1,7,0,1,1,5,0,1,-1,-3,36,1,-1,-3,23,2,1,3476039
23,135,60,1,-1,-5,122,1,-1,-5,9,1,-1,-10,3,1,-1,-5,0,1,-1,-5,0,1,-1,-5,0,2,-1,-5,38,1,-1,-5,194,1,-1,-7207764
24,110,14,2,0,0,7,1,-1,-10,9,3,0,0,0,1,1,7,0,1,-1,-15,0,1,-1,-5,0,1,-1,-10,75,2,0,0,5,1,0,0
25,82,327,1,0,0,0,1,0,0,2,1,-1,-5,12,2,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-5,38,1,-1,-5,236,1,-1,-3151224
26,59,174,1,-1,-5,86,1,0,0,1,1,-1,-5,13,2,-1,-5,0,1,-1,-5,0,2,-1,-5,0,1,-1,-5,39,1,0,0,80,1,-1,-2878593
27,33,52,2,-1,-5,25,2,-1,-5,2,1,-1,-5,4,1,-1,-10,0,3,0,0,0,1,-1,-5,0,3,-1,-5,38,1,0,0,23,1,-1,-2727411
28,177,84,1,1,5,107,1,1,5,0,1,1,5,2,1,1,5,0,1,1,5,0,1,1,10,0,1,1,5,34,1,1,5,110,1,1,5304578
29,154,10,1,-1,-5,0,1,1,7,1,1,-1,-5,2,1,-1,-5,0,1,0,0,0,1,-1,-3,0,1,-1,-3,111,3,0,0,44,2,0,0
30,129,21,2,-1,-5,30,2,-1,-5,4,1,-1,-5,0,1,-1,-5,0,2,-1,-5,0,1,-1,-3,0,3,-1,-13,38,1,-1,-5,5,1,-1,-2914603
31,99,42,3,1,5,5,1,-1,-3,11,3,1,5,1,1,-1,-5,0,2,1,5,0,1,1,5,0,2,1,5,75,2,1,5,26,1,1,2859212
32,70,242,3,-1,-5,17,1,0,0,0,1,0,0,6,2,0,0,0,1,0,0,0,2,-1,-5,0,1,-1,-3,36,1,-1,-5,117,2,0,0
33,42,66,1,-1,-5,43,1,-1,-5,5,3,-1,-10,1,1,-1,-5,0,3,-1,-10,0,1,-1,-10,0,1,-1,-10,39,1,-1,-5,84,1,-1,-5737880
34,179,165,1,-1,-3,81,1,0,0,13,3,0,0,10,2,-1,-5,0,1,-1,-10,0,1,-1,-3,0,1,-1,-3,38,1,-1,-3,179,1,-1,-1264842
35,155,183,1,-1,-5,345,1,-1,-5,1,1,-1,-5,5,1,-1,-5,0,1,-1,-30,0,1,-1,-5,0,1,0,0,37,1,-1,-5,350,1,-1,-4946004
36,132,2,1,1,5,10,1,-1,-3,15,3,1,5,5,2,-1,-5,0,1,1,5,0,1,1,5,0,1,-1,-3,73,2,1,5,8,2,1,2145654
37,105,100,1,-1,-5,100,1,-1,-5,4,1,0,0,17,3,0,0,0,1,0,0,0,1,-1,-3,0,1,-1,-5,37,1,-1,-5,132,4,-1,-4707358
38,76,6,1,-1,-5,2,1,-1,-3,4,1,1,10,2,1,-1,-5,0,2,-1,-5,0,1,-1,-3,0,1,1,5,80,2,1,5,8,2,1,2116470
39,47,36,1,-1,-5,115,2,-1,-5,3,2,0,0,2,1,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-3,113,3,-1,-5,25,1,-1,-2203877
40,17,66,1,-1,-5,42,1,-1,-5,11,1,-1,-10,2,1,-1,-5,0,1,-1,-10,0,1,0,0,0,1,0,0,36,1,0,0,20,1,0,0
41,184,213,2,0,0,104,1,0,0,11,2,-1,-5,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,30,1,-1,-5,324,2,-1,-1993602
42,157,63,1,1,5,74,3,1,15,5,5,1,20,2,1,1,5,0,1,1,10,0,1,-1,-5,0,1,1,10,110,3,1,5,85,1,1,1913968
43,123,23,1,-1,-5,43,1,-1,-5,1,1,-1,-5,6,1,-1,-10,0,1,-1,-10,0,1,-1,-5,0,1,-1,-10,38,1,-1,-5,58,2,-1,-2026134
44,99,58,1,1,5,146,1,1,10,7,3,1,10,28,3,1,20,0,1,1,5,0,1,-1,-3,0,1,-1,-5,34,1,1,5,23,1,1,1928410
45,70,23,1,-1,-10,0,1,1,7,2,1,-1,-5,2,1,-1,-5,0,2,0,0,0,1,-1,-3,0,1,-1,-3,41,1,-1,-5,12,1,-1,-1942107
46,46,53,1,-1,-5,76,3,0,0,1,1,-1,-5,1,1,0,0,0,1,-1,-10,0,1,-1,-10,0,1,0,0,37,1,0,0,122,3,0,0
47,19,364,3,0,0,80,1,0,0,2,1,-1,-3,13,3,0,0,0,1,0,0,0,1,0,0,0,2,-1,-5,103,3,0,0,180,1,0,0
48,180,90,2,-1,-5,80,1,0,0,3,1,0,0,5,1,0,0,0,3,-1,-35,0,1,-1,-5,0,1,-1,-5,38,1,0,0,94,1,-1,-927880
49,155,24,2,-1,-5,9,1,-1,-3,0,1,0,0,4,1,0,0,0,2,-1,-5,0,1,-1,-10,0,1,-1,-3,117,3,0,0,10,2,-1,-1843688
50,127,0,1,-1,-3,76,1,-1,-3,1,1,0,0,6,3,0,0,0,1,-1,-35,0,2,-1,-5,0,1,-1,-5,118,3,0,0,90,1,0,0
51,101,85,1,-1,-5,20,1,0,0,2,1,-1,-5,2,1,-1,-5,0,1,-1,-30,0,3,-1,-15,0,2,0,0,38,1,0,0,79,1,-1,-1693143
52,76,47,1,1,5,33,1,-1,-5,4,1,1,5,1,1,1,5,0,1,-1,-20,0,2,1,5,0,1,-1,-10,40,1,-1,-3,38,1,1,3259114
53,51,0,1,1,7,10,1,-1,-5,4,1,0,0,6,1,-1,-5,0,2,-1,-25,0,1,-1,-10,0,2,-1,-5,38,1,-1,-5,5,1,-1,-1828808
54,26,72,1,-1,-10,71,3,-1,-10,5,1,-1,-10,0,1,0,0,0,1,-1,-5,0,1,-1,-10,0,1,-1,-3,37,1,-1,-10,0,1,0,0
55,181,0,1,1,7,16,1,-1,-5,2,1,-1,-5,0,1,-1,-5,0,2,-1,-10,0,2,-1,-5,0,1,-1,-5,67,2,-1,-5,5,1,0,0
56,156,27,1,0,0,24,3,0,0,4,2,-1,-5,2,2,0,0,0,2,0,0,0,1,0,0,0,1,-1,-5,36,1,-1,-5,2,1,0,0
57,128,454,1,-1,-3,515,1,-1,-3,1,1,-1,-5,2,1,-1,-3,0,1,-1,-5,0,1,-1,-5,0,1,-1,-5,37,1,-1,-5,657,1,-1,-868086
58,106,239,1,1,5,269,2,1,5,6,1,1,5,5,1,1,10,0,1,1,5,0,1,1,10,0,1,1,10,36,1,1,5,161,1,1,1680911
59,80,222,2,-1,-5,191,2,-1,-5,4,2,-1,-5,1,1,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-10,36,1,-1,-5,197,1,-1,-1793918
60,54,6,1,-1,-5,17,1,-1,-5,4,1,0,0,4,2,-1,-5,0,1,-1,-3,0,1,-1,-5,0,1,-1,-5,117,3,0,0,6,1,-1,-1717089
61,28,86,2,1,5,86,1,1,5,1,1,1,5,11,2,1,5,0,1,1,5,0,3,1,10,0,1,-1,-5,35,1,1,5,74,2,1,1551023
62,179,1608,2,-1,-5,1416,2,-1,-5,12,3,-1,-20,3,1,-1,-5,0,1,-1,-60,0,1,-1,-3,0,1,-1,-10,37,1,-1,-5,738,2,-1,-1609480
63,148,371,1,1,5,307,1,1,5,7,1,1,10,1,1,1,5,0,1,1,30,0,1,-1,-10,0,1,-1,-3,110,3,1,10,298,3,1,1575437
64,121,40,2,-1,-5,57,1,-1,-10,7,2,-1,-5,0,1,0,0,0,1,-1,-20,0,1,-1,-10,0,2,-1,-5,76,2,-1,-5,74,1,-1,-1629723
65,94,5,1,0,0,12,1,-1,-3,5,1,-1,-10,0,1,-1,-5,0,1,-1,-15,0,1,-1,-10,0,1,0,0,41,1,-1,-3,36,2,0,0
66,70,254,1,-1,-5,359,2,-1,-5,15,1,-1,-10,2,1,-1,-5,0,1,-1,-10,0,1,0,0,0,2,-1,-5,34,1,-1,-5,169,1,-1,-1577064
67,43,23,1,-1,-5,65,3,0,0,4,1,0,0,2,2,-1,-5,0,1,-1,-5,0,1,-1,-10,0,1,-1,-5,38,1,-1,-3,6,2,0,0
68,16,16,1,-1,-10,8,1,-1,-3,1,2,0,0,2,1,-1,-5,0,3,-1,-5,0,1,-1,-10,0,1,-1,-5,39,1,-1,-3,23,1,-1,-1457117
69,181,104,1,-1,-5,319,1,-1,-5,6,1,-1,-10,5,1,-1,-5,0,2,-1,-5,0,1,-1,-5,0,2,-1,-5,37,1,-1,-5,212,1,-1,-1349306
70,155,271,2,-1,-5,185,1,-1,-5,1,1,-1,-5,1,1,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-3,39,1,-1,-5,123,1,-1,-1309303
71,132,190,2,1,5,62,1,1,5,7,1,1,10,12,3,1,15,0,1,1,5,0,1,-1,-3,0,1,1,5,35,1,1,5,76,1,1,1233157
72,105,40,4,0,0,18,1,-1,-5,7,2,-1,-5,3,3,0,0,0,1,-1,-3,0,2,0,0,0,1,0,0,39,1,0,0,2,1,0,0
73,75,27,2,-1,-5,4,1,0,0,15,2,-1,-5,1,1,-1,-5,0,1,-1,-3,0,1,-1,-5,0,2,-1,-5,37,1,-1,-3,16,1,-1,-649417
74,49,16,1,-1,-3,25,2,-1,-5,0,1,0,0,6,2,0,0,0,1,0,0,0,3,-1,-5,0,1,-1,-5,39,1,0,0,31,2,0,0
75,20,48,1,-1,-10,21,1,-1,-5,1,1,-1,-5,2,1,-1,-5,0,1,-1,-5,0,2,-1,-5,0,1,-1,-5,37,1,-1,-5,78,2,-1,-1287588
76,182,40,3,1,5,16,1,-1,-5,0,1,1,5,1,1,1,5,0,1,-1,-25,0,1,1,5,0,1,-1,-3,34,1,1,5,8,2,1,1144999
77,156,5,1,-1,-5,5,1,-1,-5,0,1,1,7,12,3,-1,-15,0,1,-1,-13,0,1,-1,-5,0,1,-1,-5,37,1,-1,-5,7,1,-1,-1241882
78,132,21,1,1,5,98,1,1,10,5,1,1,5,1,1,1,5,0,1,1,5,0,1,-1,-3,0,1,-1,-10,34,1,1,5,110,2,1,1128186
79,108,43,3,0,0,9,1,-1,-3,0,1,-1,-5,1,2,0,0,0,1,-1,-10,0,1,1,7,0,3,-1,-13,74,2,-1,-5,16,1,-1,-637854
80,80,702,1,1,10,102,1,1,5,2,1,1,5,9,1,1,10,0,4,1,40,0,1,1,10,0,1,-1,-10,36,1,1,5,717,2,1,1147968
81,50,384,2,1,5,128,1,1,5,0,1,1,5,15,1,1,10,0,1,1,20,0,1,1,5,0,1,1,5,38,1,1,5,444,1,-1,-1228260
82,26,359,1,1,5,509,2,1,5,3,1,1,5,11,1,1,10,0,1,1,10,0,1,1,5,0,2,1,5,34,1,1,10,186,1,1,1187685
83,181,11,1,-1,-5,25,2,-1,-5,2,2,-1,-5,1,1,-1,-3,0,3,-1,-20,0,1,0,0,0,2,0,0,75,2,-1,-5,3,1,-1,-1256903
84,153,57,3,0,0,17,2,0,0,2,2,0,0,0,1,0,0,0,1,-1,-20,0,1,-1,-5,0,1,-1,-5,37,1,-1,-5,32,1,-1,-1214452
85,125,11,1,-1,-3,30,2,-1,-5,4,1,-1,-5,3,1,-1,-5,0,4,-1,-5,0,1,-1,-5,0,1,-1,-5,37,1,-1,-5,10,1,-1,-544090
86,100,266,1,-1,-5,444,3,-1,-5,1,1,-1,-5,6,1,-1,-5,0,1,-1,-10,0,1,-1,-3,0,1,-1,-10,35,1,-1,-5,73,1,-1,-1074608
87,75,15,2,1,5,3,1,-1,-3,8,2,-1,-5,5,2,1,5,0,1,-1,-3,0,1,-1,-3,0,1,1,5,77,2,1,5,7,1,-1,-1056134
88,48,13,1,0,0,9,1,0,0,0,1,-1,-5,17,3,-1,-5,0,3,0,0,0,1,0,0,0,1,-1,-10,78,2,0,0,19,1,-1,-974856
89,19,180,1,1,5,576,2,1,5,3,1,1,5,15,2,-1,-5,0,1,1,5,0,1,1,5,0,1,-1,-5,38,1,1,5,550,1,1,919946
90,182,64,1,-1,-5,41,1,-1,-5,4,1,0,0,1,1,-1,-5,0,1,-1,-5,0,1,-1,-3,0,2,-1,-5,38,1,1,7,108,1,-1,-967170
91,160,10,2,1,5,11,3,1,5,0,1,1,5,3,1,-1,-5,0,2,1,5,0,1,1,10,0,1,1,5,36,1,-1,-3,47,3,1,916505
92,131,43,1,1,5,100,1,1,5,12,3,1,15,0,1,1,7,0,1,1,5,0,1,-1,-3,0,1,-1,-3,38,1,1,10,86,2,1,970218
93,105,184,1,1,5,246,1,1,5,1,1,1,5,49,6,1,10,0,1,1,5,0,1,1,5,0,1,-1,-3,36,1,1,10,264,1,1,1026185
94,78,138,2,-1,-5,111,1,-1,-5,1,1,-1,-5,1,1,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-10,38,1,-1,-5,141,1,-1,-2177888
95,54,82,1,-1,-5,58,1,-1,-5,10,8,-1,-20,4,1,-1,-5,0,2,-1,-20,0,1,-1,-10,0,1,-1,-5,77,2,-1,-5,21,1,0,0
96,20,247,1,-1,-3,248,1,-1,-3,6,1,-1,-3,2,1,-1,-3,0,2,0,0,0,1,-1,-10,0,1,0,0,36,1,0,0,288,3,-1,-933521
97,182,2,1,0,0,2,1,0,0,5,1,-1,-5,1,1,-1,-3,0,1,-1,-5,0,1,-1,-10,0,1,-1,-10,75,2,-1,-5,12,2,-1,-887530
98,157,17,3,-1,-5,38,2,-1,-5,2,1,-1,-5,6,2,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-3,73,2,0,0,0,1,-1,-415586
99,131,0,1,0,0,21,1,-1,-5,3,1,-1,-5,1,1,-1,-5,0,1,-1,-25,0,1,-1,-5,0,1,-1,-5,39,1,-1,-5,21,1,-1,-803165
100,109,181,1,-1,-5,438,1,-1,-10,1,1,-1,-5,1,1,-1,-5,0,1,-1,-10,0,1,-1,-5,0,1,-1,-5,37,1,0,0,400,1,-1,-1555384
101,84,73,1,0,0,56,2,-1,-5,1,1,-1,-5,3,1,-1,-10,0,1,-1,-40,0,1,-1,-3,0,1,-1,-5,111,3,-1,-5,43,2,-1,-689824
102,55,6,1,0,0,9,1,-1,-3,0,1,0,0,6,1,0,0,0,1,1,67,0,1,-1,-3,0,1,0,0,36,1,-1,-5,8,1,-1,-324301
103,33,32,5,-1,-5,9,2,0,0,13,3,-1,-5,31,4,-1,-5,0,2,-1,-5,0,1,-1,-5,0,1,-1,-10,36,1,-1,-5,14,1,0,0
104,172,0,1,0,0,5,1,0,0,0,2,0,0,4,1,0,0,0,2,-1,-5,0,2,-1,-5,0,1,-1,-5,78,2,0,0,8,1,-1,-620077
105,146,3,1,-1,-3,8,3,0,0,1,1,-1,-5,7,2,0,0,0,1,-1,-5,0,1,-1,-10,0,1,0,0,117,3,-1,-5,0,1,0,0
106,115,15,3,0,0,25,4,-1,-10,4,1,0,0,9,2,0,0,0,1,-1,-10,0,2,0,0,0,1,-1,-3,36,1,-1,-5,2,1,-1,-306666
107,86,62,1,1,5,42,1,1,5,0,1,1,5,4,2,1,5,0,1,1,10,0,1,-1,-3,0,2,1,5,36,1,1,5,46,1,1,595650
108,62,152,1,-1,-5,177,1,-1,-5,4,2,0,0,3,1,-1,-5,0,2,-1,-5,0,4,0,0,0,1,0,0,39,1,-1,-10,396,3,0,0
109,31,21,1,1,5,13,1,-1,-5,7,3,1,5,0,1,1,5,0,1,1,5,0,1,1,5,0,1,1,5,37,1,-1,-3,9,1,-1,-295812
110,184,66,1,-1,-5,87,1,-1,-5,0,1,-1,-5,4,1,-1,-10,0,1,0,0,0,1,-1,-3,0,1,1,7,36,1,-1,-5,0,1,1,875124
111,161,8,1,-1,-5,11,2,0,0,0,1,-1,-5,4,1,0,0,0,3,0,0,0,1,-1,-5,0,1,-1,-3,75,2,-1,-5,2,1,0,0
112,133,32,1,-1,-3,61,2,0,0,2,1,-1,-5,2,1,-1,-5,0,1,0,0,0,1,-1,-5,0,1,-1,-5,72,2,0,0,67,2,-1,-645834
113,105,3,1,1,5,3,1,-1,-3,0,1,1,5,3,1,1,5,0,1,-1,-40,0,1,1,5,0,1,-1,-3,75,2,1,5,2,1,1,613840
114,81,1753,1,0,0,177,1,0,0,0,1,1,7,20,5,-1,-10,0,1,-1,-25,0,1,-1,-10,0,1,-1,-5,40,1,-1,-5,521,1,-1,-644212
115,54,15,1,1,5,71,1,1,10,5,1,1,10,3,1,1,5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-3,226,6,1,10,19,1,-1,-601312
116,24,180,1,0,0,363,1,-1,-5,12,2,-1,-5,7,1,-1,-10,0,1,0,0,0,1,1,7,0,1,-1,-5,72,2,-1,-5,717,1,-1,-1094378
117,182,20,1,0,0,21,1,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,-1,-10,36,1,-1,-5,62,1,0,0
118,156,66,1,1,5,64,1,1,5,1,1,1,5,3,1,1,5,0,1,1,5,0,1,1,5,0,1,1,5,38,1,1,10,44,1,1,522399
119,134,40,2,-1,-5,33,3,-1,-5,4,2,-1,-5,3,1,-1,-10,0,2,0,0,0,1,-1,-3,0,1,-1,-5,79,2,-1,-5,16,1,-1,-261055
120,104,255,1,0,0,252,1,0,0,7,1,0,0,4,1,0,0,0,1,0,0,0,1,-1,-5,0,1,1,7,71,2,0,0,375,1,0,0
121,79,17,2,-1,-5,12,1,-1,-3,0,1,-1,-3,0,1,-1,-5,0,1,-1,-20,0,1,-1,-5,0,1,-1,-3,106,3,0,0,20,2,-1,-509445
122,53,4,1,-1,-3,6,2,0,0,0,1,-1,-5,10,2,-1,-5,0,3,0,0,0,1,-1,-5,0,1,-1,-10,78,2,-1,-5,1,1,0,0
123,27,131,1,0,0,62,1,-1,-5,4,1,0,0,5,1,-1,-10,0,1,-1,-5,0,1,-1,-10,0,1,-1,-10,38,1,-1,-5,63,1,-1,-503900
124,182,161,1,-1,-3,0,1,1,7,4,2,-1,-5,4,1,-1,-3,0,1,0,0,0,1,0,0,0,3,-1,-10,36,1,-1,-3,374,3,0,0
125,153,66,2,0,0,58,2,0,0,0,1,0,0,20,2,0,0,0,2,0,0,0,1,0,0,0,1,-1,-5,98,3,-1,-5,103,2,0,0
126,124,694,1,-1,-5,1237,2,0,0,1,1,0,0,3,1,-1,-5,0,1,-1,-40,0,1,-1,-10,0,1,0,0,38,1,-1,-5,1297,2,0,0
127,100,2,1,0,0,13,1,-1,-3,3,3,0,0,12,2,-1,-5,0,1,-1,-40,0,1,-1,-10,0,2,-1,-5,37,1,-1,-3,44,3,0,0
128,71,32,2,0,0,33,1,-1,-5,5,1,0,0,3,1,-1,-10,0,2,0,0,0,1,-1,-5,0,2,0,0,39,1,0,0,45,1,-1,-478553
129,47,49,1,-1,-5,0,1,0,0,1,1,-1,-5,2,1,-1,-5,0,1,-1,-30,0,1,-1,-3,0,1,-1,-5,36,1,-1,-5,47,1,-1,-425773
130,25,180,1,0,0,723,2,-1,-5,5,1,0,0,0,1,1,7,0,1,-1,-10,0,1,-1,-10,0,1,-1,-10,77,2,-1,-5,555,1,-1,-408663
131,181,32,2,-1,-5,16,1,-1,-5,2,2,0,0,0,1,0,0,0,1,-1,-5,0,1,-1,-5,0,1,-1,-3,36,1,0,0,3,1,-1,-384205
132,156,34,3,-1,-5,10,1,0,0,4,1,0,0,11,2,-1,-5,0,1,1,7,0,1,-1,-5,0,1,-1,-10,111,3,-1,-5,3,1,0,0
133,129,8,1,-1,-5,12,2,-1,-5,0,1,0,0,11,2,-1,-5,0,1,-1,-3,0,1,-1,-10,0,1,-1,-3,42,1,-1,-3,10,1,-1,-373263
134,102,55,2,0,0,39,1,-1,-5,12,4,-1,-5,4,2,0,0,0,2,0,0,0,1,1,7,0,1,-1,-10,36,1,-1,-5,71,4,0,0
135,70,284,1,-1,-5,276,1,-1,-5,1,1,-1,-5,9,2,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-5,39,1,-1,-5,202,1,-1,-354730
136,47,19,1,1,5,13,3,1,5,14,3,-1,-5,4,3,1,5,0,1,1,5,0,2,1,5,0,1,-1,-5,76,2,1,5,8,3,-1,-344127
137,13,319,1,0,0,105,1,-1,-5,9,2,0,0,1,1,0,0,0,1,-1,-5,0,1,-1,-5,0,1,-1,-3,37,1,0,0,109,1,-1,-303716
138,185,546,1,-1,-5,536,1,-1,-5,2,2,-1,-5,6,1,-1,-10,0,1,-1,-30,0,1,-1,-5,0,3,-1,-5,37,1,0,0,184,1,-1,-292802
139,158,185,1,1,5,121,1,1,5,1,1,1,5,8,1,1,10,0,1,1,20,0,1,-1,-5,0,1,1,10,35,1,1,5,0,1,1,408030
140,132,44,2,1,5,0,1,1,7,6,1,1,10,5,1,1,10,0,1,1,5,0,1,-1,-3,0,1,-1,-3,39,1,1,10,46,2,1,305915
141,106,349,1,-1,-5,981,1,0,0,2,1,-1,-5,5,1,0,0,0,1,-1,-5,0,1,-1,-5,0,1,-1,-3,37,1,-1,-5,1290,1,0,0
142,82,24,2,-1,-5,5,1,0,0,1,1,-1,-5,1,1,-1,-5,0,1,-1,-3,0,1,-1,-3,0,1,-1,-5,34,1,-1,-5,12,2,0,0
143,56,21,1,0,0,139,1,-1,-5,2,1,-1,-5,6,1,-1,-10,0,1,-1,-5,0,1,-1,-10,0,2,-1,-5,36,1,-1,-5,129,2,-1,-325067
144,30,0,1,1,7,16,2,0,0,6,1,0,0,4,1,0,0,0,3,-1,-5,0,1,-1,-3,0,1,-1,-10,155,4,-1,-5,19,2,-1,-293818
145,178,1312,4,1,12,543,1,1,5,0,1,1,7,2,1,1,5,0,1,1,15,0,1,-1,-10,0,1,1,5,97,3,1,5,750,2,1,281147
146,149,74,1,-1,-5,114,1,-1,-5,2,1,-1,-5,2,1,-1,-5,0,1,-1,-20,0,1,-1,-5,0,1,-1,-5,110,3,-1,-5,74,1,-1,-300489
147,126,60,1,1,5,343,1,1,5,6,1,1,10,7,1,1,10,0,1,1,100,0,1,-1,-5,0,1,-1,-3,37,1,1,5,191,1,1,573614
148,98,72,2,-1,-5,0,1,0,0,9,1,-1,-3,4,1,-1,-10,0,2,-1,-30,0,2,-1,-5,0,1,-1,-10,37,1,-1,-3,39,1,-1,-154318
149,72,2,1,0,0,5,1,-1,-5,4,3,-1,-10,1,1,-1,-5,0,1,0,0,0,2,0,0,0,1,-1,-5,38,1,0,0,2,1,0,0
150,48,4,3,1,5,0,1,-1,-3,0,1,-1,-5,0,1,1,5,0,2,1,5,0,1,-1,-5,0,1,1,5,38,1,-1,-5,0,1,1,296679
151,21,319,1,-1,-10,104,1,0,0,5,1,0,0,1,1,-1,-5,0,2,-1,-5,0,1,-1,-5,0,1,-1,-3,35,1,-1,-5,215,1,-1,-324032
152,184,10,2,-1,-5,6,1,-1,-3,2,2,-1,-5,3,2,0,0,0,1,0,0,0,1,-1,-5,0,2,-1,-5,37,1,-1,-5,14,3,-1,-300853
153,157,596,3,0,0,492,1,0,0,0,1,1,7,0,1,1,7,0,1,-1,-5,0,2,-1,-8,0,1,-1,-5,36,1,0,0,535,3,-1,-281429
154,129,157,3,1,5,63,1,1,5,1,1,1,5,7,1,1,10,0,1,1,10,0,1,1,5,0,1,1,5,39,1,1,5,87,1,1,273692
