ronda_num,agente_nombre,capital_inicial_ronda,capital_final_ronda,ganancia_neta_ronda,apuesta_total_ronda,resultado_ronda,cartas_restantes_mazo
4283,AgenteBasico,89996122,89996112,-10,10,-1,178
4284,AgenteBasico,89996112,89996112,0,5,0,171
4285,AgenteBasico,89996112,89996107,-5,5,-1,167
4286,AgenteBasico,89996107,89996102,-5,5,-1,159
4287,AgenteBasico,89996102,89996097,-5,5,-1,155
4288,AgenteBasico,89996097,89996097,0,5,0,150
4289,AgenteBasico,89996097,89996094,-3,0,-1,144
4290,AgenteBasico,89996094,89996099,5,5,1,139
4291,AgenteBasico,89996099,89996094,-5,5,-1,133
4292,AgenteBasico,89996094,89996089,-5,5,-1,128
4293,AgenteBasico,89996089,89996084,-5,5,-1,123
4294,AgenteBasico,89996084,89996079,-5,5,-1,117
4295,AgenteBasico,89996079,89996084,5,5,1,112
4296,AgenteBasico,89996084,89996079,-5,5,-1,107
4297,AgenteBasico,89996079,89996084,5,5,1,102
4298,AgenteBasico,89996084,89996091,7,5,1,96
4299,AgenteBasico,89996091,89996096,5,5,1,92
4300,AgenteBasico,89996096,89996101,5,5,1,86
4301,AgenteBasico,89996101,89996098,-3,0,-1,80
4302,AgenteBasico,89996098,89996108,10,10,1,74
4303,AgenteBasico,89996108,89996108,0,10,0,68
4304,AgenteBasico,89996108,89996103,-5,5,-1,62
4305,AgenteBasico,89996103,89996098,-5,5,-1,57
4306,AgenteBasico,89996098,89996093,-5,5,-1,51
4307,AgenteBasico,89996093,89996100,7,5,1,203
4308,AgenteBasico,89996100,89996100,0,5,0,199
4309,AgenteBasico,89996100,89996100,0,5,0,194
4310,AgenteBasico,89996100,89996100,0,10,0,190
4311,AgenteBasico,89996100,89996100,0,5,0,185
4312,AgenteBasico,89996100,89996090,-10,10,-1,178
4313,AgenteBasico,89996090,89996095,5,5,1,172
4314,AgenteBasico,89996095,89996090,-5,5,-1,166
4315,AgenteBasico,89996090,89996087,-3,0,-1,159
4316,AgenteBasico,89996087,89996092,5,5,1,152
4317,AgenteBasico,89996092,89996097,5,5,1,147
4318,AgenteBasico,89996097,89996097,0,5,0,141
4319,AgenteBasico,89996097,89996102,5,5,1,137
4320,AgenteBasico,89996102,89996092,-10,10,-1,131
4321,AgenteBasico,89996092,89996099,7,5,1,125
4322,AgenteBasico,89996099,89996104,5,5,1,120
4323,AgenteBasico,89996104,89996099,-5,5,-1,114
4324,AgenteBasico,89996099,89996104,5,5,1,108
4325,AgenteBasico,89996104,89996104,0,5,0,103
4326,AgenteBasico,89996104,89996111,7,5,1,98
4327,AgenteBasico,89996111,89996111,0,5,0,93
4328,AgenteBasico,89996111,89996106,-5,5,-1,83
4329,AgenteBasico,89996106,89996106,0,5,0,77
4330,AgenteBasico,89996106,89996101,-5,5,-1,70
4331,AgenteBasico,89996101,89996096,-5,5,-1,65
4332,AgenteBasico,89996096,89996091,-5,5,-1,59
4333,AgenteBasico,89996091,89996096,5,5,1,54
4334,AgenteBasico,89996096,89996101,5,5,1,48
4335,AgenteBasico,89996101,89996098,-3,0,-1,43
4336,AgenteBasico,89996098,89996093,-5,5,-1,38
4337,AgenteBasico,89996093,89996098,5,5,1,33
4338,AgenteBasico,89996098,89996093,-5,5,-1,202
4339,AgenteBasico,89996093,89996093,0,5,0,197
4340,AgenteBasico,89996093,89996098,5,5,1,191
4341,AgenteBasico,89996098,89996073,-25,35,-1,186
4342,AgenteBasico,89996073,89996073,0,5,0,170
4343,AgenteBasico,89996073,89996073,0,5,0,164
4344,AgenteBasico,89996073,89996063,-10,10,-1,158
4345,AgenteBasico,89996063,89996063,0,10,0,152
4346,AgenteBasico,89996063,89996070,7,5,1,145
4347,AgenteBasico,89996070,89996075,5,5,1,140
4348,AgenteBasico,89996075,89996070,-5,5,-1,135
4349,AgenteBasico,89996070,89996075,5,5,1,131
4350,AgenteBasico,89996075,89996070,-5,5,-1,125
4351,AgenteBasico,89996070,89996067,-3,0,-1,120
4352,AgenteBasico,89996067,89996067,0,5,0,114
4353,AgenteBasico,89996067,89996062,-5,5,-1,107
4354,AgenteBasico,89996062,89996067,5,5,1,102
4355,AgenteBasico,89996067,89996062,-5,5,-1,97
4356,AgenteBasico,89996062,89996052,-10,10,-1,93
4357,AgenteBasico,89996052,89996047,-5,5,-1,87
4358,AgenteBasico,89996047,89996042,-5,5,-1,81
4359,AgenteBasico,89996042,89996037,-5,5,-1,75
4360,AgenteBasico,89996037,89996032,-5,5,-1,69
4361,AgenteBasico,89996032,89996037,5,5,1,64
4362,AgenteBasico,89996037,89996042,5,5,1,59
4363,AgenteBasico,89996042,89996057,15,15,1,54
4364,AgenteBasico,89996057,89996047,-10,10,-1,46
4365,AgenteBasico,89996047,89996052,5,5,1,40
4366,AgenteBasico,89996052,89996052,0,10,0,34
4367,AgenteBasico,89996052,89996047,-5,5,-1,201
4368,AgenteBasico,89996047,89996052,5,5,1,196
4369,AgenteBasico,89996052,89996062,10,10,1,190
4370,AgenteBasico,89996062,89996057,-5,5,-1,182
4371,AgenteBasico,89996057,89996052,-5,5,-1,176
4372,AgenteBasico,89996052,89996057,5,5,1,172
4373,AgenteBasico,89996057,89996057,0,5,0,166
4374,AgenteBasico,89996057,89996052,-5,5,-1,160
4375,AgenteBasico,89996052,89996057,5,5,1,154
4376,AgenteBasico,89996057,89996062,5,5,1,149
4377,AgenteBasico,89996062,89996057,-5,5,-1,144
4378,AgenteBasico,89996057,89996042,-15,15,-1,137
4379,AgenteBasico,89996042,89996047,5,5,1,129
4380,AgenteBasico,89996047,89996042,-5,5,-1,123
4381,AgenteBasico,89996042,89996037,-5,5,-1,116
4382,AgenteBasico,89996037,89996032,-5,5,-1,110
4383,AgenteBasico,89996032,89996027,-5,5,-1,105
4384,AgenteBasico,89996027,89996032,5,5,1,101
4385,AgenteBasico,89996032,89996029,-3,0,-1,95
