episodio,capital,apuesta_promedio,entropia,timestamp
0,10456,474.0,0.00995,2025-07-16 18:49:18
1,9291,888.0,0.00995,2025-07-16 18:49:18
2,9509,462.0,0.00995,2025-07-16 18:49:18
3,10182,490.0,0.00995,2025-07-16 18:49:18
4,8836,435.0,0.00995,2025-07-16 18:49:18
5,9952,511.0,0.00995,2025-07-16 18:49:18
6,10438,526.0,0.00995,2025-07-16 18:49:18
7,8592,401.0,0.00995,2025-07-16 18:49:18
8,10390,522.0,0.00995,2025-07-16 18:49:18
9,10659,491.0,0.00995,2025-07-16 18:49:18
