episodio,capital,apuesta_promedio,entropia,timestamp
0,9737,440.0,0.00995,2025-07-16 17:48:23
1,9071,473.0,0.00995,2025-07-16 17:48:23
2,9062,914.0,0.00995,2025-07-16 17:48:23
3,10396,461.0,0.00995,2025-07-16 17:48:23
4,10215,451.0,0.00995,2025-07-16 17:48:23
5,8455,870.0,0.00995,2025-07-16 17:48:23
6,10430,505.0,0.00995,2025-07-16 17:48:23
7,9326,426.0,0.00995,2025-07-16 17:48:23
8,9112,440.0,0.00995,2025-07-16 17:48:23
9,9767,439.0,0.00995,2025-07-16 17:48:23
