episodio,capital,apuesta_promedio,entropia,timestamp
0,3447,0.0,0.00995,2025-07-16 16:45:23
1,7207,0.0,0.00995,2025-07-16 16:45:23
2,3526,189.0,0.00995,2025-07-16 16:45:23
3,6070,346.0,0.00995,2025-07-16 16:45:23
4,4231,240.0,0.00995,2025-07-16 16:45:23
5,3892,214.0,0.00995,2025-07-16 16:45:23
6,6518,396.0,0.00995,2025-07-16 16:45:23
7,7359,792.0,0.00995,2025-07-16 16:45:23
8,6582,430.0,0.00995,2025-07-16 16:45:23
9,5425,305.0,0.00995,2025-07-16 16:45:23
