episodio,capital,apuesta_promedio,entropia,timestamp
0,10481,1148.0,0.00995,2025-07-16 19:53:21
1,9912,557.0,0.00995,2025-07-16 19:53:21
2,7769,492.0,0.00995,2025-07-16 19:53:21
3,7765,496.0,0.00995,2025-07-16 19:53:21
4,11588,758.0,0.00995,2025-07-16 19:53:21
5,11774,687.0,0.00995,2025-07-16 19:53:21
6,9073,0.0,0.00995,2025-07-16 19:53:21
7,7696,513.0,0.00995,2025-07-16 19:53:21
8,8778,564.0,0.00995,2025-07-16 19:53:21
9,7735,513.0,0.00995,2025-07-16 19:53:21
