episodio,capital,apuesta_promedio,entropia,timestamp
0,10694,373.0,0.00995,2025-07-16 16:31:45
1,9665,341.0,0.00995,2025-07-16 16:31:45
2,9603,349.0,0.00995,2025-07-16 16:31:45
3,9624,353.0,0.00995,2025-07-16 16:31:45
4,11046,353.0,0.00995,2025-07-16 16:31:45
5,9330,321.0,0.00995,2025-07-16 16:31:45
6,8645,329.0,0.00995,2025-07-16 16:31:45
7,9623,328.0,0.00995,2025-07-16 16:31:45
8,10185,346.0,0.00995,2025-07-16 16:31:45
9,9820,364.0,0.00995,2025-07-16 16:31:45
