n_trees,mse_train,mse_val
10,108270.11752051114,101665.66033912747
20,107801.72859409555,102019.40176185162
30,107818.77975388488,102086.489279605
40,107712.78045961114,101873.81297739064
50,107771.68888062499,101866.96281598406
60,107768.26073150923,102023.78826798913
70,107721.60485817751,102046.34288236628
80,107618.61956034662,102131.63016954229
90,107620.64646129287,102057.54322575624
100,107555.75382560243,102022.18699331926
110,107591.27608239457,102041.64380947172
120,107566.9839867968,102178.80143972757
130,107517.68448945504,102201.436736649
140,107492.6495890046,102240.00013553412
150,107479.96300385831,102283.16603735097
160,107500.45946098572,102275.55848745813
170,107499.7897455773,102209.93299138502
180,107456.09733453661,102166.01227781743
190,107413.4010407902,102209.1066185934
200,107419.15382155676,102241.93430696463
