mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
4.42124879360199,0.20327379209375204,0.24708575010299683,0.05528860954672305,10,4,,30,False,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 30, 'bootstrap': False}",-0.13874674176734136,-0.16319833494706848,-0.027200151202054546,-0.07643341330206721,-0.1013946603046329,0.053251200037652956,43,0.16018346913671544,0.15604665462545897,0.12279787791658126,0.16078985483736874,0.1499544641290311,0.015784748929018065
1.7980000972747803,0.10605213434676612,0.25386595726013184,0.037600474216138914,5,4,sqrt,50,True,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",-0.04844616031548199,-0.01827952521174847,0.0040920301213507315,-0.01844583887463025,-0.020269873570127495,0.018672801580021273,28,0.13804011056760812,0.13245848431590412,0.11704115037186535,0.14000301991352548,0.13188569129222577,0.00900633648532519
2.1212157011032104,0.26392130474892855,0.26002538204193115,0.059101725500290234,20,1,0.5,50,True,"{'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 50, 'bootstrap': True}",-0.026280077682616865,-0.020397592814084042,0.009842609444969841,-0.015400034226042303,-0.013058773819443342,0.013771492255684553,23,0.11941748475011726,0.12534161183681036,0.10618769874760026,0.13136840692032592,0.12057880056371345,0.009321379222712112
2.262288749217987,0.12984284670913077,0.33095669746398926,0.05667567747822672,5,2,log2,50,False,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': False}",-0.1414006172384339,-0.18188704240670495,-0.03818568394582855,-0.09447613677665667,-0.11398737009190602,0.05359205973753066,45,0.2050890273829269,0.20548633631523427,0.16915000967862692,0.21131509227208145,0.19776011641221738,0.01670092054255765
2.247282385826111,0.040162924572587626,0.24499255418777466,0.06733266897878114,10,8,0.5,20,True,"{'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 20, 'bootstrap': True}",-0.008238154792343355,0.003134582993687074,0.01654766412828068,0.005066592519210489,0.004127671212208722,0.008789733702459968,13,0.09772723266452255,0.09824720382785601,0.08530015271754066,0.10075692842693829,0.09550787940921437,0.00600374106172122
3.553823709487915,0.1922142309645859,0.26515036821365356,0.027717620071980344,20,2,,30,True,"{'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30, 'bootstrap': True}",-0.036125383400688715,-0.01648274387191173,0.007877152400831866,-0.015254819274440834,-0.014996448536552354,0.015587730251689382,25,0.11694204536084918,0.11738691915465216,0.10082543019741297,0.12503483998852338,0.11504730867535942,0.008818679230404407
1.8002002239227295,0.31735665526011864,0.24492383003234863,0.025274681491059027,10,8,log2,20,True,"{'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",-0.0042333861420025265,0.010573319830962324,0.016410702398660715,0.0037752656664119533,0.0066314754385081165,0.007703482468636701,11,0.09093127209349894,0.09200574900557634,0.08087084387450316,0.09414427730485453,0.08948803556960824,0.0051077977744029696
1.2501823902130127,0.12375737201555301,0.15248793363571167,0.039287510352595534,5,2,sqrt,10,True,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-0.03253706870824313,-0.0014008995686334291,0.0152814606728362,-0.009440711884286745,-0.007024304872081777,0.0172185220413954,19,0.13821705364788317,0.13405446990728875,0.11038984367462634,0.14524359727282166,0.13197624112565498,0.013088755382540658
1.6494370102882385,0.1872497031900278,0.22104096412658691,0.026992959203637625,20,8,log2,,True,"{'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",-0.0017983173730460322,0.0074312561233293994,0.018519471291977396,0.004828735558183084,0.007245286400110962,0.00732748792034871,10,0.08820616778250534,0.09115442829557763,0.07780465145080906,0.08917021980601925,0.08658386683372782,0.0051789414189076614
1.7709235548973083,0.18677151041249374,0.2785586714744568,0.05696908207150958,20,1,log2,50,True,"{'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': True}",-0.027591214677938014,-0.017522904634903247,0.01094820588100609,-0.019235978119229946,-0.01335047288776628,0.014536788462005934,24,0.12375653329848035,0.12931673450622239,0.1086779588819694,0.13299789128101547,0.1236872794919219,0.009269071648597131
