n_trees,train_acc,val_acc,train_loss,val_loss
10,0.8479010302779584,0.8429170852786478,0.40235354642607823,0.589875755507387
20,0.8480389259894018,0.8438035577093552,0.4021682840838889,0.5854926396301093
30,0.8480783247640998,0.8435671650611666,0.40219727724789117,0.5851603145014657
40,0.8483541161869866,0.8435080668991194,0.4021836930481829,0.5848068383334866
50,0.8482950180249395,0.8434489687370723,0.4020291296579829,0.5844974194261667
60,0.8482950180249395,0.8433898705750251,0.4019907981129,0.5826089226861935
70,0.8482950180249395,0.8433898705750251,0.4018616360260941,0.5825048440951083
80,0.8483738155743357,0.8434489687370723,0.40172528186379913,0.5823404906158856
90,0.8483541161869866,0.8434489687370723,0.4017142785878867,0.582286390715807
100,0.8483541161869866,0.8435080668991194,0.4016513582483674,0.5821181705370512
110,0.8483147174122885,0.8438035577093552,0.4015183546279882,0.581852275112093
120,0.8483541161869866,0.8432716742509307,0.40144152208024697,0.581872451552173
130,0.8483541161869866,0.8436262632232138,0.4014021603061681,0.5818873215676379
140,0.8483738155743357,0.843685361385261,0.40136621432635633,0.5783143452476379
150,0.8483541161869866,0.8433307724129779,0.40138940914953974,0.5782952530815705
160,0.8483147174122885,0.8434489687370723,0.40143282300334426,0.5783469266039767
170,0.8483147174122885,0.8433898705750251,0.40143260136883263,0.5783619236793511
180,0.8483344167996375,0.8430352816027421,0.401428468532319,0.5783458325388807
190,0.8483344167996375,0.8433307724129779,0.4014773146032085,0.5784246945852507
200,0.8483147174122885,0.8433898705750251,0.4014552784212022,0.5784785477593273
