mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
4.286687672138214,0.16619461483094344,0.22579413652420044,0.04071036659219334,10,4,,30,False,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 30, 'bootstrap': False}",0.051402093601743526,0.057427875624686764,0.05302149496263253,0.055641235528488875,0.054373174929387924,0.0023234423281446293,45,0.22771517032218014,0.2290865684238862,0.22976886952872555,0.2292738344528148,0.22896111068190167,0.0007613109641472472
1.6644760370254517,0.20904942212274044,0.2179419994354248,0.028661236840523553,5,4,sqrt,50,True,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.10470849743376387,0.10666388296273,0.10479604926426489,0.10756108453551005,0.1059323785490672,0.0012223861015835374,28,0.21643866698955416,0.21772516285707066,0.21682011269293688,0.21811332049623133,0.21727431575894826,0.0006730158516024781
2.100790321826935,0.19834307455343664,0.2424948811531067,0.023008135445979197,20,1,0.5,50,True,"{'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 50, 'bootstrap': True}",0.10433320069831131,0.10620629233850587,0.10573301316147521,0.1056798817361434,0.10548809698360895,0.0006975591951718348,30,0.22152361014460165,0.22261473369617535,0.22238769419872062,0.22377613607902935,0.22257554352963174,0.0008038671464376752
2.2001144886016846,0.049791571841846585,0.31387317180633545,0.03271217460723022,5,2,log2,50,False,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': False}",0.04428816980562966,0.04135961154011503,0.04044803128543595,0.04505574007463775,0.0427878881764546,0.0019306023424888706,48,0.2719078365317493,0.27409778080078095,0.27200139921511646,0.27545226131822087,0.2733648194664669,0.0014896610231781109
1.9076507687568665,0.16722157112466418,0.23685699701309204,0.05447115500446989,10,8,0.5,20,True,"{'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 20, 'bootstrap': True}",0.11861535681256952,0.1246724334240803,0.12028712514731843,0.1220199966393154,0.12139872800582091,0.0022408669078594085,16,0.18922736264888707,0.1893613107959552,0.18966769786051096,0.19089807600992637,0.1897886118288199,0.0006601359275847998
3.9021188616752625,0.20667875244935352,0.2630147933959961,0.021478609131198687,20,2,,30,True,"{'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30, 'bootstrap': True}",0.10461049420900148,0.10530176419179937,0.10372058517332283,0.10478856535195302,0.10460535223151918,0.0005703936914803354,31,0.21581720858787967,0.21654300564761375,0.21569074161940782,0.2178860128786363,0.21648424218338438,0.0008722085744474083
1.9221044182777405,0.2815883799620391,0.30560702085494995,0.030080227116955766,10,8,log2,20,True,"{'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",0.12007786847544843,0.12562263429340015,0.12178160771241597,0.12355471874030699,0.12275920730539289,0.002060177871197287,12,0.18675529035893312,0.1860165611000404,0.18631814802322733,0.18761714532369123,0.18667678620147302,0.0006031079316620351
1.3919455409049988,0.05834450458445052,0.1697472333908081,0.014409151012574072,5,2,sqrt,10,True,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.12626569143346988,0.1352816658369631,0.1310161731429219,0.13309046058923912,0.1314134977506485,0.0033328930911854142,6,0.1738431334300662,0.17139252155519324,0.17285295072995888,0.1738959174628143,0.17299613079450815,0.0010147773938657932
1.4887017011642456,0.12100112865956393,0.3025655150413513,0.052414897823905515,20,8,log2,,True,"{'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.12054227356093794,0.1264038142179713,0.12236976506099972,0.12518020766897797,0.12362401512722174,0.002303220165438441,11,0.18593706650910646,0.18516013888006178,0.1856013493416817,0.18682227597494738,0.18588020767644933,0.0006097103099600949
2.0289916396141052,0.06864417092894409,0.2903323173522949,0.024691552814086623,20,1,log2,50,True,"{'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': True}",0.10536624863003219,0.10700524750000018,0.10464669790808045,0.10764178497881904,0.10616499475423297,0.0012072856671232334,27,0.2210354672117424,0.22067158613572202,0.221933542190491,0.22162861778454856,0.221317303330626,0.0004932163103879618
2.016466200351715,0.15094541109148096,0.20050328969955444,0.022450458970260965,5,1,0.5,10,False,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': False}",0.1214427395241251,0.12861306807667627,0.12780105407202003,0.12780999230057255,0.1264167134933485,0.0028905888316497564,9,0.18616420359574504,0.18410943969623816,0.18606159991720916,0.18693015578164152,0.18581634974770847,0.00104106384893891
2.209948718547821,0.051214852988771695,0.2975541353225708,0.08191920797729331,20,2,0.5,30,True,"{'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 30, 'bootstrap': True}",0.10586726738290364,0.10971874390500547,0.10743023582907407,0.1096796571017703,0.10817397605468837,0.0016223006461965307,25,0.214773847996802,0.21594282643482354,0.2157487064877377,0.21636967909603266,0.21570876500384897,0.0005846488952606026
