mano_valor,mano_es_blanda,mano_apuesta,mano_num_cartas,mano_es_par_divisible,agente_nombre,agente_capital_inicial,dealer_valor_carta,accion_tomada,ganancia_neta,conteo_cartas,recompensa_normalizada
15,False,429,2,False,AgenteAleatorio1,83498,10,PLANTARSE,-429,None,-1.0
16,False,302,2,False,AgenteAleatorio1,83069,9,RENDIRSE,-151,None,-0.5
7,False,750,2,False,AgenteAleatorio1,82918,11,RENDIRSE,-375,None,-0.5
18,False,626,2,False,AgenteAleatorio1,82543,2,DOBLAR,-1252,None,-2.0
10,False,687,2,True,AgenteAleatorio1,81291,8,PLANTARSE,687,None,1.0
16,False,243,2,False,AgenteAleatorio1,81978,7,PLANTARSE,-243,None,-1.0
12,False,59,2,False,AgenteAleatorio1,81735,10,DOBLAR,-118,None,-2.0
20,False,14,2,True,AgenteAleatorio1,81617,10,DOBLAR,-28,None,-2.0
9,False,233,2,False,AgenteAleatorio1,81589,3,DIVIDIR,233,None,1.0
11,False,402,2,False,AgenteAleatorio1,81822,10,DOBLAR,-804,None,-2.0
16,False,700,2,False,AgenteAleatorio1,81018,5,DOBLAR,-1400,None,-2.0
14,False,746,2,False,AgenteAleatorio1,79618,9,PEDIR,-746,None,-1.0
12,False,248,2,False,AgenteAleatorio1,78872,10,PLANTARSE,-248,None,-1.0
13,False,437,2,False,AgenteAleatorio1,78624,10,RENDIRSE,-218,None,-0.4988558352402746
17,False,653,2,False,AgenteAleatorio1,78405,4,PLANTARSE,-653,None,-1.0
7,False,233,2,False,AgenteAleatorio1,77752,11,PEDIR,-233,None,-1.0
15,False,233,3,False,AgenteAleatorio1,77752,11,PLANTARSE,-233,None,-1.0
16,False,493,2,False,AgenteAleatorio1,77519,10,DOBLAR,986,None,2.0
12,False,105,2,False,AgenteAleatorio1,77519,10,DOBLAR,0,None,0.0
4,False,178,2,True,AgenteAleatorio1,77519,4,PEDIR,178,None,1.0
14,False,178,3,False,AgenteAleatorio1,77519,4,DIVIDIR,178,None,1.0
19,False,46,2,False,AgenteAleatorio1,77697,8,PLANTARSE,46,None,1.0
16,False,333,2,False,AgenteAleatorio1,77743,6,RENDIRSE,-166,None,-0.4984984984984985
14,False,344,2,False,AgenteAleatorio1,77576,3,DOBLAR,-688,None,-2.0
12,False,608,2,False,AgenteAleatorio1,76888,11,PEDIR,0,None,0.0
18,False,608,3,False,AgenteAleatorio1,76888,11,RENDIRSE,0,None,0.0
16,False,590,2,False,AgenteAleatorio1,76888,3,DIVIDIR,590,None,1.0
16,False,519,2,False,AgenteAleatorio1,77478,10,RENDIRSE,-259,None,-0.49903660886319845
19,True,406,2,False,AgenteAleatorio1,77218,2,DOBLAR,812,None,2.0
12,False,440,2,False,AgenteAleatorio1,78030,6,PLANTARSE,-440,None,-1.0
14,False,492,2,False,AgenteAleatorio1,77590,5,PLANTARSE,-492,None,-1.0
20,True,198,2,False,AgenteAleatorio1,77098,9,PEDIR,198,None,1.0
14,False,198,3,False,AgenteAleatorio1,77098,9,DIVIDIR,198,None,1.0
12,False,580,2,False,AgenteAleatorio1,77296,10,PEDIR,580,None,1.0
