n_trees,train_acc,val_acc,train_loss,val_loss,f1_macro_train,f1_macro_val
2,0.8545200244272403,0.8542639323917026,0.403804377337228,0.48315673268088855,0.7666029654682615,0.7664809074076192
4,0.867659515789059,0.8673837243661722,0.388513874789105,0.440975512617469,0.7944736087780033,0.7938776454013656
6,0.8723282705907847,0.8699249453342001,0.38104585057619395,0.4157630665098847,0.8046224094430394,0.7996336182510833
8,0.8741603136142466,0.8705159269546717,0.3798148223016885,0.4080480046368099,0.8073770758488653,0.8025276569001278
10,0.873923920966058,0.8703386324685303,0.3782825687526321,0.39679634910589556,0.8046739215463606,0.7994168965191408
12,0.8730374485353506,0.8702795343064831,0.3779650783537189,0.39636259965716214,0.8018527450731,0.7984424389859177
14,0.8733132399582373,0.8714023993853791,0.3762534337040809,0.3948938632772085,0.799736101333193,0.8017123547367818
16,0.8738057246419636,0.8711660067371905,0.3750554851530723,0.3908045314289738,0.8000994317648307,0.8013329228635518
18,0.8738648228040108,0.8716978901956149,0.37681902337292883,0.3925576763421549,0.7999346003421299,0.8001721919782234
20,0.873569331993775,0.8715796938715206,0.3757256602228145,0.39131648309772443,0.797636133436257,0.798732627764297
22,0.8736481295431712,0.8716387920335678,0.3775371639283981,0.3929970718280522,0.7985768865247981,0.7997269407097215
24,0.8736284301558221,0.8716978901956149,0.3768812479516524,0.39234283188640934,0.7979308983021047,0.799754304894723
26,0.8737269270925674,0.8716978901956149,0.375737970086973,0.3912204582365761,0.7986232640812921,0.799754304894723
28,0.8735890313811241,0.8715205957094735,0.37506776172743284,0.3906346204878394,0.7959691775121627,0.7982356700870122
30,0.8741012154521994,0.8715796938715206,0.37483463219452023,0.3904119249688918,0.8001807189218277,0.7993896429466972
32,0.8735890313811241,0.8715205957094735,0.37504881977721577,0.39050464055558864,0.7959302783523449,0.7982356700870122
34,0.8734511356696807,0.8714614975474263,0.37464379908299444,0.39002097819216963,0.7950457792815773,0.79841205282139
36,0.8735102338317279,0.8716978901956149,0.37374146857113233,0.38919285728322867,0.7952496992011987,0.8002591063166584
38,0.8740224179028032,0.8712842030612848,0.37359532183125616,0.3889735966167647,0.7995047168555545,0.7975460016939505
40,0.873943620353407,0.8713433012233319,0.3734998184717946,0.3890209155153688,0.7990461480632398,0.7967254464769431
42,0.8742785099383409,0.8711069085751433,0.3732402911665807,0.38863378922901554,0.8015569938813767,0.7961486529345931
44,0.8743770068750862,0.8711069085751433,0.3733109400096495,0.38870042873182375,0.801488849987761,0.7965537818214414
46,0.8741406142268976,0.8715796938715206,0.3733967886683793,0.3887416024749024,0.8002806711590227,0.7998624120462482
48,0.8744952031991805,0.8716978901956149,0.37341555834333007,0.3888079857635142,0.8032940244523044,0.8008583829366417
50,0.874317908713039,0.8716978901956149,0.3731903852440473,0.38857043405455655,0.8017450720795225,0.8003519729093691
